employee_id,department,job_level,location,gender,ethnicity,hire_date,tenure_months,performance_score,engagement_score,absence_days_ytd,left_company,exit_reason,exit_date,dq_missing_exit_date,tenure_band,salary_proxy,replacement_cost_est,flight_risk_score,high_risk_employee,hire_year
EMP01683,Technology,Manager,London,Male,White,2022-08-30,28.0,4.0,3.9,14.0,1,Compensation,2022-12-16,0,25-36m,68000,40800.0,1.06,0,2022.0
EMP01746,People & Culture,Senior Analyst,London,Male,White,2023-04-01,21.0,2.7,1.0,10.0,0,,,0,13-24m,52000,31200.0,3.32,1,2023.0
EMP01735,Sales & Commercial,Manager,London,Male,White,2021-10-29,38.0,2.6,3.4,0.0,1,Better opportunity,2022-01-20,0,37-60m,68000,40800.0,1.92,0,2021.0
EMP01326,Customer Success,Analyst,London,Male,Black / African / Caribbean,2023-12-31,12.0,2.2,2.3,6.0,1,Better opportunity,2024-03-23,0,7-12m,38000,22800.0,2.74,1,2023.0
EMP01731,Technology,Senior Analyst,Amsterdam,Male,White,2022-04-30,32.0,3.9,2.8,11.0,0,,,0,25-36m,52000,31200.0,1.76,0,2022.0
EMP02033,Sales & Commercial,Senior Manager,Dublin,Female,Asian / Asian British,2020-05-29,55.0,3.7,3.4,9.0,0,,,0,37-60m,88000,52800.0,1.48,0,2020.0
EMP01246,Legal & Compliance,Analyst,London,Female,Black / African / Caribbean,2023-12-01,13.0,2.3,1.8,16.0,0,,,0,13-24m,38000,22800.0,3.0,1,2023.0
EMP01117,Customer Success,Senior Analyst,London,Male,White,2023-08-31,16.0,2.4,5.0,10.0,0,,,0,13-24m,52000,31200.0,1.04,0,2023.0
EMP01379,Customer Success,Manager,London,Male,White,2022-05-31,31.0,3.4,5.0,7.0,0,,,0,25-36m,68000,40800.0,0.64,0,2022.0
EMP01237,Sales & Commercial,Senior Analyst,Lagos,Female,Not disclosed,2023-06-01,19.0,3.2,4.4,4.0,0,,,0,13-24m,52000,31200.0,1.08,0,2023.0
EMP01837,Legal & Compliance,Analyst,London,Male,Black / African / Caribbean,2023-10-31,14.0,4.3,3.3,8.0,0,,,0,13-24m,38000,22800.0,1.3,0,2023.0
EMP01413,Marketing,Senior Analyst,Dublin,Female,White,2022-05-31,31.0,3.3,3.8,5.0,0,,,0,25-36m,52000,31200.0,1.4,0,2022.0
EMP01495,Operations,Senior Analyst,London,Male,Asian / Asian British,2023-08-01,17.0,2.7,4.9,9.0,0,,,0,13-24m,52000,31200.0,0.98,0,2023.0
EMP01997,Legal & Compliance,Senior Analyst,Amsterdam,Female,White,2023-01-30,23.0,3.3,5.0,4.0,0,,,0,13-24m,52000,31200.0,0.68,0,2023.0
