employee_id,department,job_level,location,gender,ethnicity,hire_date,tenure_months,performance_score,engagement_score,absence_days_ytd,left_company,exit_reason,exit_date
EMP01683,Technology,Manager,London,Male,White,2022-08-30,28,4.0,3.9,14.0,1,Compensation,2022-12-16
EMP01746,People & Culture,Senior Analyst,London,Male,White,2023-04-01,21,2.7,1.0,10.0,0,,
EMP01735,Sales & Commercial,Manager,London,Male,White,2021-10-29,38,2.6,3.4,0.0,1,Better opportunity,2022-01-20
EMP01326,Customer Success,Analyst,London,Male,Black / African / Caribbean,2023-12-31,12,2.2,2.3,6.0,1,Better opportunity,2024-03-23
EMP01731,Technology,Senior Analyst,Amsterdam,Male,White,2022-04-30,32,3.9,2.8,11.0,0,,
EMP02033,Sales & Commercial,Senior Manager,Dublin,Female,Asian / Asian British,2020-05-29,55,3.7,,9.0,0,,
EMP01246,Legal & Compliance,Analyst,London,Female,Black / African / Caribbean,2023-12-01,13,2.3,1.8,16.0,0,,
EMP01117,Customer Success,Senior Analyst,London,Male,White,2023-08-31,16,2.4,5.0,10.0,0,,
EMP01379,Customer Success,Manager,London,Male,White,2022-05-31,31,3.4,5.0,7.0,0,,
EMP01237,Sales & Commercial,Senior Analyst,Lagos,Female,,2023-06-01,19,3.2,4.4,4.0,0,,
EMP01837,Legal & Compliance,Analyst,London,Male,Black / African / Caribbean,2023-10-31,14,4.3,3.3,,0,,
EMP01413,Marketing,Senior Analyst,Dublin,Female,White,2022-05-31,31,3.3,3.8,5.0,0,,
EMP01495,Operations,Senior Analyst,London,Male,Asian / Asian British,2023-08-01,17,2.7,4.9,9.0,0,,
EMP01997,Legal & Compliance,Senior Analyst,Amsterdam,Female,White,2023-01-30,23,3.3,5.0,4.0,0,,
EMP02158,People & Culture,Analyst,Manchester,Female,White,2024-05-01,8,3.7,2.8,0.0,0,,
EMP01705,Technology,Manager,London,Female,White,2022-01-29,35,3.8,2.6,4.0,0,,
EMP02040,Sales & Commercial,Analyst,Lagos,Female,Black / African / Caribbean,2024-03-01,10,3.1,3.2,6.0,0,,
EMP01296,Operations,Manager,Manchester,Female,,2022-05-31,31,3.8,4.0,2.0,0,,
EMP01144,Sales & Commercial,Manager,Manchester,Male,White,2022-11-30,25,3.0,2.1,9.0,1,Career growth,2024-09-23
EMP01161,Sales & Commercial,Senior Manager,Dublin,Male,White,2020-12-28,48,3.5,3.9,9.0,0,,
EMP01704,TECHNOLOGY,Analyst,London,Female,White,2024-08-01,5,2.8,2.7,14.0,0,,
EMP02176,Operations,Analyst,London,Female,,2024-12-01,1,3.0,3.6,13.0,0,,
EMP01402,Legal & Compliance,Senior Analyst,Amsterdam,Female,Other / prefer not to say,2022-10-30,26,3.1,3.3,4.0,0,,
EMP01669,Technology,Analyst,London,Female,Asian / Asian British,2024-12-01,1,,4.6,10.0,0,,
EMP01351,Operations,Director,London,Male,White,2018-12-27,72,4.3,5.0,0.0,0,,
EMP02096,Technology,Analyst,London,Female,White,2023-12-31,12,2.3,4.0,13.0,0,,
EMP01612,Customer Success,Manager,London,Female,White,2022-06-30,30,3.4,3.2,1.0,0,,
EMP01155,Marketing,Senior Analyst,London,Male,White,2023-10-31,14,3.1,3.1,7.0,0,,
EMP01344,Operations,Analyst,London,Male,Asian / Asian British,2023-12-01,13,3.2,3.3,17.0,0,,
EMP01781,Finance,Analyst,London,Male,White,2023-07-01,18,4.1,4.7,7.0,0,,
EMP01998,Technology,Senior Manager,Amsterdam,Male,Other / prefer not to say,2020-07-29,53,2.8,3.8,0.0,0,,
EMP01872,Sales & Commercial,Senior Analyst,London,Non-binary / prefer not to say,White,2022-05-31,31,4.5,4.8,11.0,0,,
EMP01785,Technology,Analyst,Manchester,Female,White,2023-08-01,17,3.8,2.8,8.0,0,,
EMP01301,Technology,Senior Analyst,Manchester,Male,White,2022-07-31,29,3.2,2.8,6.0,0,,
EMP01894,Sales & Commercial,Senior Analyst,Manchester,Female,Black / African / Caribbean,2023-04-01,21,,2.9,1.0,1,Career growth,2024-06-16
EMP01940,Operations,Senior Manager,Dublin,Male,,2020-06-28,54,4.1,4.8,8.0,0,,
EMP01226,Sales & Commercial,Director,Lagos,Male,White,2018-02-25,82,3.1,1.8,6.0,0,,
EMP01173,Operations,Senior Manager,London,Male,White,2019-12-28,60,3.0,3.8,6.0,0,,
EMP01408,Technology,Senior Manager,London,Male,White,2021-01-28,47,3.6,2.8,3.0,0,,
EMP01482,Finance,Director,Amsterdam,Male,White,2018-09-27,75,3.9,4.2,4.0,0,,
EMP01582,Marketing,Senior Manager,London,Female,White,2020-05-29,55,3.4,3.1,,1,Relocation,
EMP01352,People & Culture,Manager,Dublin,Female,White,2022-11-30,25,4.2,2.0,12.0,0,,
EMP01955,Operations,Analyst,London,Male,Mixed / Multiple ethnic groups,2022-12-30,24,2.1,3.9,14.0,1,Career growth,2023-06-22
EMP01502,Operations,Senior Analyst,Dublin,Male,White,2023-06-01,19,2.4,1.3,6.0,1,Work-life balance,2023-12-15
EMP01064,Sales & Commercial,Senior Analyst,Manchester,,White,2024-04-01,9,3.4,3.4,7.0,0,,
EMP01961,Technology,Manager,Dublin,Female,Asian / Asian British,2021-09-29,39,2.6,2.9,5.0,0,,
EMP01293,Customer Success,Analyst,London,Female,Asian / Asian British,2022-02-28,34,3.5,2.2,6.0,1,Work-life balance,2023-02-23
EMP01089,People & Culture,Analyst,Manchester,Male,White,2024-03-01,10,3.3,2.7,15.0,0,,
EMP01658,Sales & Commercial,Senior Analyst,London,Male,White,2024-12-01,1,3.5,3.3,8.0,0,,
EMP01339,Operations,Analyst,Lagos,Male,Black / African / Caribbean,2024-12-01,1,2.8,4.4,1.0,0,,
EMP01916,Operations,Analyst,Dublin,Male,White,2022-09-30,27,3.4,3.5,13.0,0,,
EMP01416,OPERATIONS,Manager,Dublin,Male,Black / African / Caribbean,2022-03-31,33,4.4,1.6,7.0,0,,
EMP01842,Finance,Senior Analyst,London,Female,Asian / Asian British,2023-07-01,18,2.5,3.2,5.0,0,,
EMP01833,technology,Senior Analyst,London,Male,White,2023-03-01,22,1.8,3.6,6.0,1,Career growth,2024-09-23
EMP01215,Customer Success,Senior Analyst,London,Male,White,2023-10-31,14,3.3,2.8,4.0,0,,
EMP01899,Technology,Manager,London,Male,Other / prefer not to say,2022-08-30,28,3.8,4.9,17.0,0,,
EMP01668,Technology,Analyst,Lagos,Male,,2023-10-01,15,4.3,4.3,4.0,0,,
EMP01404,Customer Success,Senior Analyst,Lagos,Male,Black / African / Caribbean,2023-03-01,22,3.4,,9.0,0,,
EMP01672,People & Culture,Analyst,Manchester,Non-binary / prefer not to say,White,2023-12-31,12,3.4,3.6,5.0,0,,
EMP01983,Technology,Analyst,London,Female,Black / African / Caribbean,2023-10-01,15,3.8,3.5,13.0,1,Compensation,2024-09-15
EMP02119,Sales & Commercial,Senior Analyst,London,Male,White,2022-12-30,24,4.0,2.7,2.0,1,Relocation,2023-07-01
EMP01513,Legal & Compliance,Manager,Dublin,Male,Mixed / Multiple ethnic groups,2021-03-30,45,4.0,3.3,18.0,0,,
EMP01771,Technology,Analyst,Dublin,Male,Other / prefer not to say,2023-12-01,13,1.5,2.0,5.0,1,Compensation,2024-10-30
EMP01054,People & Culture,Analyst,London,Male,White,2024-05-01,8,2.7,1.7,18.0,0,,
EMP02023,Legal & Compliance,Analyst,Dublin,Male,Black / African / Caribbean,2024-03-01,10,2.4,3.1,5.0,0,,
EMP01939,Technology,Analyst,Manchester,Male,White,2021-12-29,36,3.4,2.6,12.0,0,,
EMP01018,Operations,Manager,London,Female,Asian / Asian British,2021-12-29,36,2.5,3.3,4.0,0,,
EMP01168,Technology,Senior Manager,London,,Black / African / Caribbean,2019-12-28,60,3.1,3.5,9.0,0,,
 EMP01714 ,Operations,Senior Analyst,London,Female,Black / African / Caribbean,2023-06-01,19,4.6,3.8,9.0,0,,
 EMP01953 ,Technology,Manager,Amsterdam,Male,White,2022-06-30,30,3.6,4.0,8.0,0,,
EMP01561,Customer Success,Senior Analyst,London,Female,Black / African / Caribbean,2024-06-01,7,4.0,3.5,13.0,0,,
EMP01776,Technology,Director,London,Female,White,2021-02-27,46,3.7,1.9,10.0,0,,
EMP01657,Sales & Commercial,Manager,Manchester,Non-binary / prefer not to say,White,2023-03-01,22,2.9,3.0,10.0,1,Better opportunity,2023-09-18
EMP01108,Customer Success,Senior Manager,London,Male,White,2021-01-28,47,4.2,3.7,7.0,0,,
EMP01628,Customer Success,Director,Manchester,Female,White,2019-03-29,69,4.7,5.0,6.0,0,,
EMP01836,Operations,Senior Analyst,London,Male,White,2022-08-30,28,3.5,3.7,3.0,0,,
EMP01649,Customer Success,Senior Manager,London,Female,White,2020-12-28,48,3.4,,,0,,
EMP01841,Tech,Senior Manager,London,Female,White,2020-10-28,50,2.0,4.2,0.0,0,,
EMP01921,People & Culture,Senior Manager,Manchester,Female,White,2020-08-28,52,3.6,4.3,7.0,0,,2024-06-01
 EMP01519 ,Marketing,Director,London,Male,White,2019-10-28,62,3.5,4.9,13.0,0,,
EMP01632,People & Culture,Manager,London,Female,White,2022-10-30,26,4.5,3.4,10.0,0,,
EMP01003,Customer Success,Analyst,London,Male,,2023-10-31,14,4.3,2.4,,0,,
EMP01373,Technology,Manager,Amsterdam,Male,White,2021-08-29,40,2.1,1.5,8.0,1,Work-life balance,2023-05-20
EMP01043,Technology,Manager,Dublin,Male,White,2023-12-31,12,3.8,3.9,8.0,1,Better opportunity,2024-04-21
EMP02024,Marketing,Analyst,London,Female,Asian / Asian British,2024-12-01,1,1.9,3.2,12.0,1,Relocation,2025-01-31
EMP01087,Customer Success,Analyst,Manchester,Female,White,2023-07-01,18,3.0,3.1,11.0,1,Compensation,2024-04-02
EMP01647,Operations,Analyst,London,Male,White,2023-07-01,18,3.3,3.5,14.0,0,,
EMP01854,People & Culture,Director,London,Female,White,2019-08-28,64,3.4,2.9,7.0,0,,
EMP01214,Sales & Commercial,Analyst,Dublin,Female,Black / African / Caribbean,2023-03-01,22,2.9,3.1,11.0,1,Better opportunity,2023-08-12
EMP02094,Operations,Senior Analyst,Amsterdam,Female,White,2024-08-01,5,3.6,,11.0,1,Career growth,2024-11-25
EMP01429,Sales & Commercial,Analyst,London,Female,White,2023-10-31,14,,2.1,7.0,1,Work-life balance,2024-11-19
EMP01798,Operations,Analyst,Amsterdam,Male,Black / African / Caribbean,2024-03-01,10,4.3,2.5,13.0,0,,
EMP01880,Sales & Commercial,Manager,Dublin,Female,White,2020-07-29,53,2.5,4.7,19.0,0,,
EMP01066,Operations,Analyst,London,Male,Black / African / Caribbean,2024-12-01,1,2.2,4.5,11.0,0,,
EMP01777,Sales & Commercial,Analyst,Dublin,Male,Black / African / Caribbean,2024-04-01,9,4.1,1.9,6.0,1,Compensation,2024-12-09
EMP01267,Finance,Director,London,,White,2018-04-27,80,3.5,4.2,11.0,0,,
